timer,hart
1824,-192
1825,-1881
1826,-1577
1827,-1588
1828,-3567
1829,-3463
1830,-3020
1831,-2605
1832,-2584
1833,-2511
1834,-2120
1835,-2215
1836,-2066
1837,-2504
1838,-2500
1839,-2334
1840,-3677
1841,-3091
1842,-2825
1843,-3322
1844,-2682
1845,-3712
1846,-3583
1847,-3413
1848,-3292
1849,-2329
1850,-3122
1851,-2373
1852,-2335
1853,-3500
1854,-2718
1855,-2422
1856,-2970
1857,-3254
1858,-3228
1859,-3790
1860,-3339
1861,-2019
1862,-2420
1863,-2214
1864,-2090
1865,-3163
1866,-2678
1867,-2386
1868,-2907
1869,-2779
1870,-3214
1871,-4125
1872,-3679
1873,-3923
1874,-5346
1875,-5467
1876,-5536
1877,-5969
1878,-4981
1879,-2551
1880,-1702
1881,-1361
1882,-272
1883,-1855
1884,-2831
1885,-853
1886,-1398
1887,-2468
1888,-1284
1889,-3154
1890,-4527
1891,-3361
1892,-3528
1893,-3777
1894,-3683
1895,-4519
1896,-5715
1897,-4902
1898,-4030
1899,-4164
1900,-3884
1901,-4228
1902,-5776
1903,-6938
1904,-6516
1905,-6078
1906,-6577
1907,-6417
1908,-6334
1909,-6680
1910,-4769
1911,-3772
1912,-4733
1913,-4174
1914,-4607
1915,-5548
1916,-4293
1917,-3056
1918,-3708
1919,-3738
1920,-3789
1921,-4365
1922,-2369
1923,-2535
1924,-3661
1925,-3048
1926,-5450
1927,-7160
1928,-6589
1929,-6127
1930,-5642
1931,-5334
1932,-4845
1933,-4686
1934,-4843
1935,-4253
1936,-4829
1937,-5440
1938,-5185
1939,-6862
1940,-4807
1941,-7504
1942,-17214
1943,-20796
1944,-25921
1945,-30512
1946,-26607
1947,-22349
1948,-21514
1949,-20464
1950,-20197
1951,-21158
1952,-20150
1953,-19343
1954,-16780
1955,-15828
1956,-17154
1957,-16221
1958,-15943
1959,-13861
1960,-13114
1961,-13113
1962,-11325
1963,-12122
1964,-11942
1965,-11618
1966,-12005
1967,-11733
1968,-10970
1969,-10176
1970,-11278
1971,-9211
1972,-7759
1973,-9286
1974,-7717
1975,-7832
1976,-9485
1977,-9215
1978,-8602
1979,-8088
1980,-8402
1981,-6686
1982,-6807
1983,-7607
1984,-4557
1985,-5252
1986,-6232
1987,-4968
1988,-6629
1989,-7823
1990,-7619
1991,-6071
1992,-5842
1993,-6532
1994,-4751
1995,-5593
1996,-5418
1997,-4277
1998,-5178
1999,-4259
2000,-5139
2001,-5226
2002,-3523
2003,-3308
2004,-3200
2005,-3084
2006,-3114
2007,-5275
2008,-4517
2009,-3108
2010,-4815
2011,-2485
2012,-2005
2013,-3969
2014,-3376
2015,-3931
2016,-3740
2017,-4181
2018,-3778
2019,-3485
2020,-4701
2021,-1942
2022,-2204
2023,-3545
2024,-1783
2025,-3239
2026,-4192
2027,-4385
2028,-4238
2029,-4101
2030,-4082
2031,-2423
2032,-3351
2033,-1700
2034,-817
2035,-3269
2036,-1532
2037,-2882
2038,-4984
2039,-3492
2040,-3512
2041,-3179
2042,-3123
2043,-3347
2044,-3137
2045,-3089
2046,-2489
2047,-2873
2048,-2973
2049,-2947
2050,-4477
2051,-3382
2052,-2770
2053,-3519
2054,-2468
2055,-2869
2056,-3507
2057,-3040
2058,-2147
2059,-2614
2060,-3182
2061,-1917
2062,-2979
2063,-3332
2064,-2369
2065,-2590
2066,-2903
2067,-3526
2068,-3408
2069,-3994
2070,-3231
2071,-2071
2072,-2815
2073,-2186
2074,-2945
2075,-4157
2076,-3728
2077,-4618
2078,-4199
2079,-3550
2080,-3675
2081,-3191
2082,-2281
2083,-910
2084,-2244
2085,-2030
2086,-1374
2087,-4260
2088,-3659
2089,-3231
2090,-3719
2091,-2272
2092,-2445
2093,-2518
2094,-2259
2095,-1635
2096,-1940
2097,-3008
2098,-1993
2099,-3209
2100,-4320
2101,-1644
2102,-1434
2103,-2764
2104,-2120
2105,-3448
2106,-5677
2107,-5111
2108,-5143
2109,-5506
2110,-4421
2111,-3562
2112,-2910
2113,-2554
2114,-1715
2115,-1106
2116,-2007
2117,-2119
2118,-2186
2119,-2243
2120,-1629
2121,-1344
2122,-1261
2123,-1739
2124,-1954
2125,-2621
2126,-2996
2127,-2515
2128,-3773
2129,-3258
2130,-3172
2131,-3616
2132,-321
2133,-1077
2134,-2093
2135,-898
2136,-3891
2137,-5367
2138,-4834
2139,-4366
2140,-4114
2141,-3444
2142,-2726
2143,-4485
2144,-3424
2145,-2959
2146,-4519
2147,-3478
2148,-4131
2149,-4783
2150,-4998
2151,-4788
2152,-4109
2153,-6195
2154,-5442
2155,-5097
2156,-5973
2157,-4278
2158,-5061
2159,-4902
2160,-4572
2161,-5130
2162,-4530
2163,-4847
2164,-4022
2165,-4606
2166,-4863
2167,-4456
2168,-5263
2169,-3727
2170,-3911
2171,-3989
2172,-2851
2173,-4549
2174,-4678
2175,-4334
2176,-4997
2177,-4403
2178,-4276
2179,-3887
2180,-3769
2181,-2884
2182,-1409
2183,-1915
2184,-1258
2185,-1650
2186,-3067
2187,-3015
2188,-3130
2189,-1761
2190,-2041
2191,-1266
2192,-1227
2193,-3216
2194,224
2195,-583
2196,-2112
2197,152
2198,-2031
2199,-3330
