x,hart
1684,2008
1685,2007
1686,1999
1687,1999
1688,2024
1689,2024
1690,2023
1691,2014
1692,2014
1693,2023
1694,2014
1695,2014
1696,2026
1697,2036
1698,2036
1699,2028
1700,2032
1701,2032
1702,2028
1703,2027
1704,2027
1705,2042
1706,2042
1707,2040
1708,2065
1709,2065
1710,2052
1711,2047
1712,2047
1713,2072
1714,2067
1715,2067
1716,2077
1717,2100
1718,2100
1719,2086
1720,2093
1721,2093
1722,2131
1723,2114
1724,2114
1725,2123
1726,2123
1727,2137
1728,2137
1729,2137
1730,2126
1731,2144
1732,2144
1733,2127
1734,2128
1735,2128
1736,2122
1737,2111
1738,2111
1739,2123
1740,2121
1741,2121
1742,2102
1743,2100
1744,2100
1745,2095
1746,2095
1747,2086
1748,2087
1749,2087
1750,2071
1751,2062
1752,2062
1753,2051
1754,2028
1755,2028
1756,2007
1757,1988
1758,1988
1759,1979
1760,1968
1761,1968
1762,1957
1763,1938
1764,1938
1765,1930
1766,1930
1767,1915
1768,1898
1769,1898
1770,1889
1771,1878
1772,1878
1773,1855
1774,1862
1775,1862
1776,1870
1777,1853
1778,1853
1779,1855
1780,1847
1781,1847
1782,1852
1783,1852
1784,1866
1785,1864
1786,1864
1787,1865
1788,1878
1789,1878
1790,1870
1791,1890
1792,1890
1793,1898
1794,1896
1795,1896
1796,1910
1797,1914
1798,1914
1799,1909
1800,1923
1801,1923
1802,1943
1803,1930
1804,1930
1805,1951
1806,1951
1807,1949
1808,1946
1809,1946
1810,1967
1811,1987
1812,1987
1813,1975
1814,1976
1815,1976
1816,1978
1817,1986
1818,1986
1819,1979
1820,1985
1821,1985
1822,1987
1823,1987
1824,1975
1825,1968
1826,1968
1827,1968
1828,1981
1829,1981
1830,1990
1831,1998
1832,1998
1833,1983
1834,1992
1835,1992
1836,1985
1837,1982
1838,1982
1839,1988
1840,1978
1841,1978
1842,1981
1843,1995
1844,1995
1845,2000
1846,2000
1847,1996
1848,2002
1849,2002
1850,1996
1851,1997
1852,1997
1853,1994
1854,1984
1855,1984
1856,1992
1857,1990
1858,1990
1859,1977
1860,1985
1861,1985
1862,1986
1863,1986
1864,1982
1865,1992
1866,1992
1867,1993
1868,1990
1869,1990
1870,2006
1871,2004
1872,2004
1873,1998
1874,2002
1875,2002
1876,1997
1877,1990
1878,1990
1879,2008
1880,2008
1881,1993
1882,1993
1883,1993
1884,2003
1885,1981
1886,1981
1887,1990
1888,1996
1889,1996
1890,1985
1891,1996
